Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1314988754,TBGDrizzy,0,361,PF Giannis Antetokounmpo SF Ben Simmons SG Jimmy Butler PG Jamal Murray C Bam Adebayo G Alec Burks UTIL Kelly Olynyk F Mike Muscala,,Bam Adebayo,C,60.87%,43
2,1315037094,aaronvan,0,338.5,C Blake Griffin PG Ben Simmons SF Jimmy Butler SG Eric Bledsoe G Lonzo Ball F Bam Adebayo UTIL Kelly Olynyk PF Mike Muscala,,Jimmy Butler,SG,56.52%,63
3,1315018052,PH-Ssense,0,336.75,SF LeBron James G DeMar DeRozan SG Jimmy Butler C Myles Turner PG Collin Sexton F Bam Adebayo PF Mike Muscala UTIL Monte Morris,,Mike Muscala,PF,43.48%,33.75
4,1314691634,scoot18uga,0,336.5,F Giannis Antetokounmpo SG Jimmy Butler PG Jamal Murray UTIL Lauri Markkanen SF Buddy Hield PF Bam Adebayo G Kentavious Caldwell-Pope C Mike Muscala,,Jamal Murray,PG,34.78%,40.25
5,1315024166,kkizar,0,329.75,UTIL Anthony Davis SF LeBron James SG Jimmy Butler G Collin Sexton PG De'Anthony Melton C Bam Adebayo PF Mike Muscala F James Johnson,,Giannis Antetokounmpo,UTIL,26.09%,55.75
6,1314792325,DP7604,0,326.75,F Anthony Davis UTIL Andre Drummond PG Kemba Walker SF Kyle Kuzma G Justise Winslow C Bam Adebayo PF Mike Muscala SG Langston Galloway,,Ben Simmons,SF,26.09%,52
7,1315284597,mlucia241969,0,326.5,PF Blake Griffin PG Ben Simmons SF Jimmy Butler SG Jamal Murray C Myles Turner UTIL Bam Adebayo G Alec Burks F Amir Johnson,,Collin Sexton,G,21.74%,24.75
8,1314515091,LSDJUNIOR,0,314.5,UTIL Giannis Antetokounmpo SF Ben Simmons SG Jimmy Butler PG Jamal Murray G Collin Sexton C Bam Adebayo PF Mike Muscala F Alize Johnson,,Lauri Markkanen,UTIL,21.74%,44.75
9,1314772356,andrew2231,0,312.75,SF Giannis Antetokounmpo PG Ben Simmons SG Jimmy Butler UTIL Jamal Murray G Collin Sexton F Bam Adebayo C Kelly Olynyk PF Amir Johnson,,LeBron James,SF,21.74%,68
10,1315086985,Stuart2424,0,312,G Stephen Curry SF Ben Simmons PG Kemba Walker SG Jimmy Butler F Cedi Osman UTIL Juancho Hernang?mez C Bam Adebayo PF Amir Johnson,,Amir Johnson,PF,17.39%,7.5
