Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
PG,Jeff Teague (11615234),Jeff Teague,11615234,PG/G/UTIL,4500,BKN@MIN 11/12/2018 08:00PM ET,MIN,27.61,0.613555556
PG,Elfrid Payton (11615151),Elfrid Payton,11615151,PG/G/UTIL,5200,NO@TOR 11/12/2018 07:30PM ET,NO,30.8,0.592307692
PF/C,Derrick Favors (11615257),Derrick Favors,11615257,PF/C/F/UTIL,4300,UTA@MEM 11/12/2018 08:00PM ET,UTA,24.96,0.580465116
C,Jarrett Allen (11615145),Jarrett Allen,11615145,C/UTIL,5100,BKN@MIN 11/12/2018 08:00PM ET,BKN,28.88,0.56627451
SF/PF,Danilo Gallinari (11615104),Danilo Gallinari,11615104,SF/PF/F/UTIL,5600,GS@LAC 11/12/2018 10:30PM ET,LAC,31.46,0.561785714
PF/C,Bobby Portis (11615141),Bobby Portis,11615141,PF/C/F/UTIL,5200,DAL@CHI 11/12/2018 08:00PM ET,CHI,29.12,0.56
PG,Shelvin Mack (11615358),Shelvin Mack,11615358,PG/G/UTIL,3900,UTA@MEM 11/12/2018 08:00PM ET,MEM,21.82,0.559487179
C,Marc Gasol (11615017),Marc Gasol,11615017,C/UTIL,7100,UTA@MEM 11/12/2018 08:00PM ET,MEM,38.93,0.548309859
C,Deandre Ayton (11615025),Deandre Ayton,11615025,C/UTIL,6800,PHO@OKC 11/12/2018 08:00PM ET,PHO,37.06,0.545
C,Joel Embiid (11614911),Joel Embiid,11614911,C/UTIL,10100,PHI@MIA 11/12/2018 07:30PM ET,PHI,54.95,0.544059406
C,Pau Gasol (11615345),Pau Gasol,11615345,C/UTIL,4000,SA@SAC 11/12/2018 10:00PM ET,SA,21.64,0.541
SF/PF,Robert Covington (11615183),Robert Covington,11615183,SF/PF/F/UTIL,5000,PHI@MIA 11/12/2018 07:30PM ET,PHI,27.02,0.5404
C,Jonas Valanciunas (11615134),Jonas Valanciunas,11615134,C/UTIL,5300,NO@TOR 11/12/2018 07:30PM ET,TOR,28.6,0.539622642
SF/PF,Nikola Mirotic (11614979),Nikola Mirotic,11614979,SF/PF/F/UTIL,7700,NO@TOR 11/12/2018 07:30PM ET,NO,41.39,0.537532468
PF/C,Serge Ibaka (11615072),Serge Ibaka,11615072,PF/C/F/UTIL,6000,NO@TOR 11/12/2018 07:30PM ET,TOR,32.25,0.5375
PG,De'Aaron Fox (11615010),De'Aaron Fox,11615010,PG/G/UTIL,7100,SA@SAC 11/12/2018 10:00PM ET,SAC,38.14,0.537183099
C,Willie Cauley-Stein (11615057),Willie Cauley-Stein,11615057,C/UTIL,6200,SA@SAC 11/12/2018 10:00PM ET,SAC,33.29,0.536935484
PF,Marvin Bagley III (11615249),Marvin Bagley III,11615249,PF/F/UTIL,4400,SA@SAC 11/12/2018 10:00PM ET,SAC,23.62,0.536818182
SG,Bradley Beal (11615002),Bradley Beal,11615002,SG/G/UTIL,7100,ORL@WAS 11/12/2018 07:00PM ET,WAS,38.1,0.536619718
SF/PF,Tobias Harris (11615013),Tobias Harris,11615013,SF/PF/F/UTIL,7000,GS@LAC 11/12/2018 10:30PM ET,LAC,37.56,0.536571429
PG/SG,J.J. Barea (11615311),J.J. Barea,11615311,PG/SG/G/UTIL,4000,DAL@CHI 11/12/2018 08:00PM ET,DAL,21.4,0.535
C,Rudy Gobert (11614969),Rudy Gobert,11614969,C/UTIL,7900,UTA@MEM 11/12/2018 08:00PM ET,UTA,42.15,0.533544304
SF/PF,JaMychal Green (11615335),JaMychal Green,11615335,SF/PF/F/UTIL,4000,UTA@MEM 11/12/2018 08:00PM ET,MEM,21.25,0.53125
PG/SG,Dwyane Wade (11615210),Dwyane Wade,11615210,PG/SG/G/UTIL,4700,PHI@MIA 11/12/2018 07:30PM ET,MIA,24.94,0.530638298
PG/SG,Spencer Dinwiddie (11615198),Spencer Dinwiddie,11615198,PG/SG/G/UTIL,4800,BKN@MIN 11/12/2018 08:00PM ET,BKN,25.46,0.530416667
C,Steven Adams (11615032),Steven Adams,11615032,C/UTIL,6700,PHO@OKC 11/12/2018 08:00PM ET,OKC,35.46,0.529253731
PG/SG,Fred VanVleet (11615339),Fred VanVleet,11615339,PG/SG/G/UTIL,4000,NO@TOR 11/12/2018 07:30PM ET,TOR,21.17,0.52925
SF/PF,Jae Crowder (11615147),Jae Crowder,11615147,SF/PF/F/UTIL,5200,UTA@MEM 11/12/2018 08:00PM ET,UTA,27.29,0.524807692
SG/SF,Garrett Temple (11615293),Garrett Temple,11615293,SG/SF/F/G/UTIL,4100,UTA@MEM 11/12/2018 08:00PM ET,MEM,21.36,0.52097561
SG/SF,Kelly Oubre Jr. (11615252),Kelly Oubre Jr.,11615252,SG/SF/F/G/UTIL,4300,ORL@WAS 11/12/2018 07:00PM ET,WAS,22.38,0.520465116
PG/SG,Patrick Beverley (11615287),Patrick Beverley,11615287,PG/SG/G/UTIL,4100,GS@LAC 11/12/2018 10:30PM ET,LAC,21.31,0.519756098
PG,Kyle Lowry (11614948),Kyle Lowry,11614948,PG/G/UTIL,8400,NO@TOR 11/12/2018 07:30PM ET,TOR,43.65,0.519642857
SG/SF,Wesley Matthews (11615154),Wesley Matthews,11615154,SG/SF/F/G/UTIL,5100,DAL@CHI 11/12/2018 08:00PM ET,DAL,26.46,0.518823529
SG/SF,Danny Green (11615298),Danny Green,11615298,SG/SF/F/G/UTIL,4300,NO@TOR 11/12/2018 07:30PM ET,TOR,22.29,0.518372093
C,Hassan Whiteside (11614959),Hassan Whiteside,11614959,C/UTIL,8200,PHI@MIA 11/12/2018 07:30PM ET,MIA,42.39,0.51695122
SG/SF,Joe Harris (11615229),Joe Harris,11615229,SG/SF/F/G/UTIL,4500,BKN@MIN 11/12/2018 08:00PM ET,BKN,23.25,0.516666667
PG/SG,Devin Booker (11614971),Devin Booker,11614971,PG/SG/G/UTIL,7900,PHO@OKC 11/12/2018 08:00PM ET,PHO,40.67,0.514810127
PG,Shaquille Harrison (11615499),Shaquille Harrison,11615499,PG/G/UTIL,3300,DAL@CHI 11/12/2018 08:00PM ET,CHI,16.94,0.513333333
SF,Caris LeVert (11615043),Caris LeVert,11615043,SF/F/UTIL,6400,BKN@MIN 11/12/2018 08:00PM ET,BKN,32.83,0.51296875
C,DeAndre Jordan (11614996),DeAndre Jordan,11614996,C/UTIL,7000,DAL@CHI 11/12/2018 08:00PM ET,DAL,35.88,0.512571429
SF/PF,Trevor Ariza (11615191),Trevor Ariza,11615191,SF/PF/F/UTIL,4900,PHO@OKC 11/12/2018 08:00PM ET,PHO,25.02,0.510612245
PF/C,Julius Randle (11615039),Julius Randle,11615039,PF/C/F/UTIL,6600,NO@TOR 11/12/2018 07:30PM ET,NO,33.69,0.510454545
PG,John Wall (11614943),John Wall,11614943,PG/G/UTIL,8600,ORL@WAS 11/12/2018 07:00PM ET,WAS,43.88,0.510232558
PG/SG,Bryn Forbes (11615307),Bryn Forbes,11615307,PG/SG/G/UTIL,4100,SA@SAC 11/12/2018 10:00PM ET,SA,20.91,0.51
PG/SG,Zach LaVine (11614951),Zach LaVine,11614951,PG/SG/G/UTIL,8300,DAL@CHI 11/12/2018 08:00PM ET,CHI,42.31,0.509759036
PG/SG,D'Angelo Russell (11615065),D'Angelo Russell,11615065,PG/SG/G/UTIL,6000,BKN@MIN 11/12/2018 08:00PM ET,BKN,30.54,0.509
PG/SG,Jrue Holiday (11614955),Jrue Holiday,11614955,PG/SG/G/UTIL,8200,NO@TOR 11/12/2018 07:30PM ET,NO,41.71,0.508658537
SG/SF,JJ Redick (11615136),JJ Redick,11615136,SG/SF/F/G/UTIL,5300,PHI@MIA 11/12/2018 07:30PM ET,PHI,26.95,0.508490566
PF/C,Montrezl Harrell (11615108),Montrezl Harrell,11615108,PF/C/F/UTIL,5600,GS@LAC 11/12/2018 10:30PM ET,LAC,28.4,0.507142857
SG/SF,Rodney McGruder (11615095),Rodney McGruder,11615095,SG/SF/F/G/UTIL,5700,PHI@MIA 11/12/2018 07:30PM ET,MIA,28.9,0.507017544
PG,Goran Dragic (11615092),Goran Dragic,11615092,PG/G/UTIL,5800,PHI@MIA 11/12/2018 07:30PM ET,MIA,29.36,0.506206897
SF/PF,Jeff Green (11615323),Jeff Green,11615323,SF/PF/F/UTIL,4000,ORL@WAS 11/12/2018 07:00PM ET,WAS,20.23,0.50575
SG/SF,Justin Holiday (11615171),Justin Holiday,11615171,SG/SF/F/G/UTIL,5000,DAL@CHI 11/12/2018 08:00PM ET,CHI,25.27,0.5054
SG/SF,Joe Ingles (11615076),Joe Ingles,11615076,SG/SF/F/G/UTIL,5900,UTA@MEM 11/12/2018 08:00PM ET,UTA,29.71,0.503559322
PF/C,Dwight Powell (11615489),Dwight Powell,11615489,PF/C/F/UTIL,3300,DAL@CHI 11/12/2018 08:00PM ET,DAL,16.6,0.503030303
SG/SF,Kawhi Leonard (11614938),Kawhi Leonard,11614938,SG/SF/F/G/UTIL,8700,NO@TOR 11/12/2018 07:30PM ET,TOR,43.64,0.501609195
SG/SF,Iman Shumpert (11615361),Iman Shumpert,11615361,SG/SF/F/G/UTIL,3900,SA@SAC 11/12/2018 10:00PM ET,SAC,19.54,0.501025641
SF/PF,Jerami Grant (11615187),Jerami Grant,11615187,SF/PF/F/UTIL,4800,PHO@OKC 11/12/2018 08:00PM ET,OKC,24.04,0.500833333
PG,Mike Conley (11615022),Mike Conley,11615022,PG/G/UTIL,6900,UTA@MEM 11/12/2018 08:00PM ET,MEM,34.5,0.5
PG,Shai Gilgeous-Alexander (11615264),Shai Gilgeous-Alexander,11615264,PG/G/UTIL,4200,GS@LAC 11/12/2018 10:30PM ET,LAC,20.96,0.499047619
PG/SG,Cameron Payne (11615393),Cameron Payne,11615393,PG/SG/G/UTIL,3700,DAL@CHI 11/12/2018 08:00PM ET,CHI,18.44,0.498378378
PF,Dario Saric (11615207),Dario Saric,11615207,PF/F/UTIL,4700,PHI@MIA 11/12/2018 07:30PM ET,PHI,23.38,0.497446809
C,Nikola Vucevic (11614946),Nikola Vucevic,11614946,C/UTIL,8500,ORL@WAS 11/12/2018 07:00PM ET,ORL,42.19,0.496352941
C,Nerlens Noel (11615453),Nerlens Noel,11615453,C/UTIL,3500,PHO@OKC 11/12/2018 08:00PM ET,OKC,17.35,0.495714286
SF/PF,Nemanja Bjelica (11615100),Nemanja Bjelica,11615100,SF/PF/F/UTIL,5700,SA@SAC 11/12/2018 10:00PM ET,SAC,28.15,0.493859649
SG/SF,DeMar DeRozan (11614921),DeMar DeRozan,11614921,SG/SF/F/G/UTIL,9300,SA@SAC 11/12/2018 10:00PM ET,SA,45.8,0.492473118
SG/SF,Buddy Hield (11615034),Buddy Hield,11615034,SG/SF/F/G/UTIL,6600,SA@SAC 11/12/2018 10:00PM ET,SAC,32.5,0.492424242
PG/SG,Stephen Curry (11614913),Stephen Curry,11614913,PG/SG/G/UTIL,9900,GS@LAC 11/12/2018 10:30PM ET,GS,48.62,0.491111111
C,Mohamed Bamba (11615291),Mohamed Bamba,11615291,C/UTIL,4100,ORL@WAS 11/12/2018 07:00PM ET,ORL,20.12,0.490731707
PG,Ricky Rubio (11615069),Ricky Rubio,11615069,PG/G/UTIL,6000,UTA@MEM 11/12/2018 08:00PM ET,UTA,29.44,0.490666667
