Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11694906),Anthony Davis,11694906,PF/C/F/UTIL,11400,NO@WAS 11/24/2018 08:00PM ET,NO,58.84
SF/PF,Giannis Antetokounmpo (11694910),Giannis Antetokounmpo,11694910,SF/PF/F/UTIL,11200,SA@MIL 11/24/2018 08:30PM ET,MIL,55.68
PG/SG,James Harden (11694914),James Harden,11694914,PG/SG/G/UTIL,11100,HOU@CLE 11/24/2018 07:30PM ET,HOU,52.5
PG,Russell Westbrook (11694918),Russell Westbrook,11694918,PG/G/UTIL,10700,DEN@OKC 11/24/2018 08:00PM ET,OKC,53.65
SF/PF,Kevin Durant (11694921),Kevin Durant,11694921,SF/PF/F/UTIL,10600,SAC@GS 11/24/2018 08:30PM ET,GS,49.46
PG/SG,Stephen Curry (11694925),Stephen Curry,11694925,PG/SG/G/UTIL,9500,SAC@GS 11/24/2018 08:30PM ET,GS,48.62
C,Karl-Anthony Towns (11694929),Karl-Anthony Towns,11694929,C/UTIL,9100,CHI@MIN 11/24/2018 08:00PM ET,MIN,42.78
C,Nikola Jokic (11694931),Nikola Jokic,11694931,C/UTIL,8800,DEN@OKC 11/24/2018 08:00PM ET,DEN,44.68
PG,Kyrie Irving (11694933),Kyrie Irving,11694933,PG/G/UTIL,8700,BOS@DAL 11/24/2018 08:30PM ET,BOS,42.17
PG/SG,Jrue Holiday (11694936),Jrue Holiday,11694936,PG/SG/G/UTIL,8600,NO@WAS 11/24/2018 08:00PM ET,NO,43.70
PG,John Wall (11694940),John Wall,11694940,PG/G/UTIL,8500,NO@WAS 11/24/2018 08:00PM ET,WAS,42.92
SF/PF,Paul George (11694943),Paul George,11694943,SF/PF/F/UTIL,8300,DEN@OKC 11/24/2018 08:00PM ET,OKC,47.19
PF/C,Kevin Love (11694947),Kevin Love,11694947,PF/C/F/UTIL,8000,HOU@CLE 11/24/2018 07:30PM ET,CLE,42.88
SG/SF,DeMar DeRozan (11694951),DeMar DeRozan,11694951,SG/SF/F/G/UTIL,8000,SA@MIL 11/24/2018 08:30PM ET,SA,43.03
PG/SG,Zach LaVine (11694956),Zach LaVine,11694956,PG/SG/G/UTIL,7800,CHI@MIN 11/24/2018 08:00PM ET,CHI,40.86
PG,Chris Paul (11694960),Chris Paul,11694960,PG/G/UTIL,7700,HOU@CLE 11/24/2018 07:30PM ET,HOU,40.17
PF/C,LaMarcus Aldridge (11694963),LaMarcus Aldridge,11694963,PF/C/F/UTIL,7600,SA@MIL 11/24/2018 08:30PM ET,SA,39.21
C,Clint Capela (11694967),Clint Capela,11694967,C/UTIL,7500,HOU@CLE 11/24/2018 07:30PM ET,HOU,40.03
SG,Bradley Beal (11694969),Bradley Beal,11694969,SG/G/UTIL,7400,NO@WAS 11/24/2018 08:00PM ET,WAS,37.40
PF/C,Julius Randle (11694972),Julius Randle,11694972,PF/C/F/UTIL,7300,NO@WAS 11/24/2018 08:00PM ET,NO,34.93
PG,Luka Doncic (11694976),Luka Doncic,11694976,PG/G/UTIL,7200,BOS@DAL 11/24/2018 08:30PM ET,DAL,35.88
SG/SF,Khris Middleton (11694981),Khris Middleton,11694981,SG/SF/F/G/UTIL,7100,SA@MIL 11/24/2018 08:30PM ET,MIL,35.93
C,DeAndre Jordan (11694979),DeAndre Jordan,11694979,C/UTIL,7100,BOS@DAL 11/24/2018 08:30PM ET,DAL,34.97
PG,De'Aaron Fox (11694986),De'Aaron Fox,11694986,PG/G/UTIL,7000,SAC@GS 11/24/2018 08:30PM ET,SAC,37.79
PF/C,Draymond Green (11694989),Draymond Green,11694989,PF/C/F/UTIL,7000,SAC@GS 11/24/2018 08:30PM ET,GS,31.12
PG/SG,Eric Bledsoe (11694993),Eric Bledsoe,11694993,PG/SG/G/UTIL,6900,SA@MIL 11/24/2018 08:30PM ET,MIL,33.38
SF/PF,Nikola Mirotic (11694997),Nikola Mirotic,11694997,SF/PF/F/UTIL,6800,NO@WAS 11/24/2018 08:00PM ET,NO,38.85
SG,Klay Thompson (11695001),Klay Thompson,11695001,SG/G/UTIL,6700,SAC@GS 11/24/2018 08:30PM ET,GS,33.1
C,Steven Adams (11695004),Steven Adams,11695004,C/UTIL,6600,DEN@OKC 11/24/2018 08:00PM ET,OKC,36.34
PG/SG,Derrick Rose (11695006),Derrick Rose,11695006,PG/SG/G/UTIL,6500,CHI@MIN 11/24/2018 08:00PM ET,MIN,32.21
SG/SF,Andrew Wiggins (11695010),Andrew Wiggins,11695010,SG/SF/F/G/UTIL,6400,CHI@MIN 11/24/2018 08:00PM ET,MIN,29.35
PG/SG,Jamal Murray (11695015),Jamal Murray,11695015,PG/SG/G/UTIL,6300,DEN@OKC 11/24/2018 08:00PM ET,DEN,31.51
SF/PF,Jayson Tatum (11695019),Jayson Tatum,11695019,SF/PF/F/UTIL,6200,BOS@DAL 11/24/2018 08:30PM ET,BOS,30.28
C,Dwight Howard (11695027),Dwight Howard,11695027,C/UTIL,6100,NO@WAS 11/24/2018 08:00PM ET,WAS,27.03
PF/C,Paul Millsap (11695023),Paul Millsap,11695023,PF/C/F/UTIL,6100,DEN@OKC 11/24/2018 08:00PM ET,DEN,29.18
PG,Jeff Teague (11695033),Jeff Teague,11695033,PG/G/UTIL,6000,CHI@MIN 11/24/2018 08:00PM ET,MIN,29.62
PF/C,DeMarcus Cousins (11695029),DeMarcus Cousins,11695029,PF/C/F/UTIL,6000,SAC@GS 11/24/2018 08:30PM ET,GS,0
PG/SG,Dennis Schroder (11695036),Dennis Schroder,11695036,PG/SG/G/UTIL,6000,DEN@OKC 11/24/2018 08:00PM ET,OKC,33.33
SF/PF,Rudy Gay (11695040),Rudy Gay,11695040,SF/PF/F/UTIL,5900,SA@MIL 11/24/2018 08:30PM ET,SA,30.48
SF/PF,Jabari Parker (11695044),Jabari Parker,11695044,SF/PF/F/UTIL,5900,CHI@MIN 11/24/2018 08:00PM ET,CHI,29.43
C,Willie Cauley-Stein (11695048),Willie Cauley-Stein,11695048,C/UTIL,5800,SAC@GS 11/24/2018 08:30PM ET,SAC,32.47
PF/C,Al Horford (11695050),Al Horford,11695050,PF/C/F/UTIL,5800,BOS@DAL 11/24/2018 08:30PM ET,BOS,29.96
SF/PF,Robert Covington (11695057),Robert Covington,11695057,SF/PF/F/UTIL,5700,CHI@MIN 11/24/2018 08:00PM ET,MIN,27.65
SG,Gary Harris (11695054),Gary Harris,11695054,SG/G/UTIL,5700,DEN@OKC 11/24/2018 08:00PM ET,DEN,29.26
SF/PF,Harrison Barnes (11695061),Harrison Barnes,11695061,SF/PF/F/UTIL,5600,BOS@DAL 11/24/2018 08:30PM ET,DAL,26.85
C,Tristan Thompson (11695091),Tristan Thompson,11695091,C/UTIL,5500,HOU@CLE 11/24/2018 07:30PM ET,CLE,29.41
