Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
PG,Elfrid Payton (11605783),Elfrid Payton,11605783,PG/G/UTIL,5400,PHO@NO 11/10/2018 07:00PM ET,NO,30.8,0.57037037
PG,Rajon Rondo (11605840),Rajon Rondo,11605840,PG/G/UTIL,5100,LAL@SAC 11/10/2018 10:00PM ET,LAL,29.06,0.569803922
C,Clint Capela (11605712),Clint Capela,11605712,C/UTIL,6500,HOU@SA 11/10/2018 08:30PM ET,HOU,36.72,0.564923077
C,Jarrett Allen (11605788),Jarrett Allen,11605788,C/UTIL,5300,BKN@GS 11/10/2018 08:30PM ET,BKN,29.65,0.559433962
SG,Josh Hart (11605936),Josh Hart,11605936,SG/G/UTIL,4300,LAL@SAC 11/10/2018 10:00PM ET,LAL,23.84,0.554418605
PG,Chris Paul (11605666),Chris Paul,11605666,PG/G/UTIL,7600,HOU@SA 11/10/2018 08:30PM ET,HOU,41.59,0.547236842
C,Steven Adams (11605716),Steven Adams,11605716,C/UTIL,6400,OKC@DAL 11/10/2018 09:00PM ET,OKC,34.92,0.545625
C,Pau Gasol (11606009),Pau Gasol,11606009,C/UTIL,4000,HOU@SA 11/10/2018 08:30PM ET,SA,21.64,0.541
PG/SG,Spencer Dinwiddie (11605872),Spencer Dinwiddie,11605872,PG/SG/G/UTIL,4700,BKN@GS 11/10/2018 08:30PM ET,BKN,25.38,0.54
PF/C,Bobby Portis (11605775),Bobby Portis,11605775,PF/C/F/UTIL,5400,CLE@CHI 11/10/2018 08:00PM ET,CHI,29.12,0.539259259
PG,Shaquille Harrison (11606275),Shaquille Harrison,11606275,PG/G/UTIL,3000,CLE@CHI 11/10/2018 08:00PM ET,CHI,16.17,0.539
PG/SG,George Hill (11605976),George Hill,11605976,PG/SG/G/UTIL,4000,CLE@CHI 11/10/2018 08:00PM ET,CLE,21.48,0.537
PG,De'Aaron Fox (11605684),De'Aaron Fox,11605684,PG/G/UTIL,7100,LAL@SAC 11/10/2018 10:00PM ET,SAC,38.12,0.536901408
SG/SF,Wesley Matthews (11605831),Wesley Matthews,11605831,SG/SF/F/G/UTIL,5100,OKC@DAL 11/10/2018 09:00PM ET,DAL,27.27,0.534705882
PG,Ryan Arcidiacono (11606144),Ryan Arcidiacono,11606144,PG/G/UTIL,3300,CLE@CHI 11/10/2018 08:00PM ET,CHI,17.59,0.533030303
PG,Shelvin Mack (11605968),Shelvin Mack,11605968,PG/G/UTIL,4100,PHI@MEM 11/10/2018 08:00PM ET,MEM,21.85,0.532926829
C,Joel Embiid (11605609),Joel Embiid,11605609,C/UTIL,10500,PHI@MEM 11/10/2018 08:00PM ET,PHI,55.79,0.531333333
SF/PF,JaMychal Green (11605994),JaMychal Green,11605994,SF/PF/F/UTIL,4000,PHI@MEM 11/10/2018 08:00PM ET,MEM,21.25,0.53125
PG/SG,J.J. Barea (11606025),J.J. Barea,11606025,PG/SG/G/UTIL,3800,OKC@DAL 11/10/2018 09:00PM ET,DAL,20.18,0.531052632
PG/SG,D'Angelo Russell (11605752),D'Angelo Russell,11605752,PG/SG/G/UTIL,5800,BKN@GS 11/10/2018 08:30PM ET,BKN,30.77,0.530517241
PF/C,Kevin Love (11605646),Kevin Love,11605646,PF/C/F/UTIL,8100,CLE@CHI 11/10/2018 08:00PM ET,CLE,42.88,0.529382716
PG/SG,James Harden (11605615),James Harden,11605615,PG/SG/G/UTIL,9600,HOU@SA 11/10/2018 08:30PM ET,HOU,50.71,0.528229167
C,Marc Gasol (11605680),Marc Gasol,11605680,C/UTIL,7200,PHI@MEM 11/10/2018 08:00PM ET,MEM,37.98,0.5275
