Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,
C,Clint Capela (11611870),Clint Capela,11611870,C/UTIL,6400,IND@HOU 11/11/2018 07:00PM ET,HOU,36.96,0.5775,
PG,Chris Paul (11611842),Chris Paul,11611842,PG/G/UTIL,7100,IND@HOU 11/11/2018 07:00PM ET,HOU,40.58,0.571549296,
SG/SF,Will Barton (11611919),Will Barton,11611919,SG/SF/F/G/UTIL,5500,MIL@DEN 11/11/2018 08:00PM ET,DEN,30.75,0.559090909,
SG,Josh Hart (11612001),Josh Hart,11612001,SG/G/UTIL,4400,ATL@LAL 11/11/2018 09:30PM ET,LAL,24,0.545454545,
PG/SG,Trey Burke (11612133),Trey Burke,11612133,PG/SG/G/UTIL,3300,ORL@NY 11/11/2018 07:30PM ET,NY,17.98,0.544848485,
C,John Henson (11612116),John Henson,11612116,C/UTIL,3300,MIL@DEN 11/11/2018 08:00PM ET,MIL,17.73,0.537272727,
C,Enes Kanter (11611861),Enes Kanter,11611861,C/UTIL,6600,ORL@NY 11/11/2018 07:30PM ET,NY,35.33,0.53530303,
PG/SG,James Harden (11611821),James Harden,11611821,PG/SG/G/UTIL,9400,IND@HOU 11/11/2018 07:00PM ET,HOU,49.94,0.531276596,
SG,Gary Harris (11611911),Gary Harris,11611911,SG/G/UTIL,5600,MIL@DEN 11/11/2018 08:00PM ET,DEN,29.62,0.528928571,
PG/SG,Eric Bledsoe (11611891),Eric Bledsoe,11611891,PG/SG/G/UTIL,6000,MIL@DEN 11/11/2018 08:00PM ET,MIL,31.56,0.526,
PF/C,Paul Millsap (11611932),Paul Millsap,11611932,PF/C/F/UTIL,5100,MIL@DEN 11/11/2018 08:00PM ET,DEN,26.77,0.524901961,
PG,Damian Lillard (11611827),Damian Lillard,11611827,PG/G/UTIL,8300,BOS@POR 11/11/2018 09:00PM ET,POR,43.54,0.524578313,
PG/SG,CJ McCollum (11611872),CJ McCollum,11611872,PG/SG/G/UTIL,6200,BOS@POR 11/11/2018 09:00PM ET,POR,32.48,0.523870968,
PG/SG,Lance Stephenson (11612096),Lance Stephenson,11612096,PG/SG/G/UTIL,3400,ATL@LAL 11/11/2018 09:30PM ET,LAL,17.81,0.523823529,
C,JaVale McGee (11611880),JaVale McGee,11611880,C/UTIL,6100,ATL@LAL 11/11/2018 09:30PM ET,LAL,31.85,0.522131148,
C,Jusuf Nurkic (11611868),Jusuf Nurkic,11611868,C/UTIL,6400,BOS@POR 11/11/2018 09:00PM ET,POR,33.35,0.52109375,
PG,Rajon Rondo (11611914),Rajon Rondo,11611914,PG/G/UTIL,5500,ATL@LAL 11/11/2018 09:30PM ET,LAL,28.61,0.520181818,
C,Alex Len (11612037),Alex Len,11612037,C/UTIL,4000,ATL@LAL 11/11/2018 09:30PM ET,ATL,20.73,0.51825,
SG,Damyean Dotson (11611995),Damyean Dotson,11611995,SG/G/UTIL,4500,ORL@NY 11/11/2018 07:30PM ET,NY,23.3,0.517777778,
PG,Kyrie Irving (11611834),Kyrie Irving,11611834,PG/G/UTIL,7600,BOS@POR 11/11/2018 09:00PM ET,BOS,39.3,0.517105263,
