Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1265813622,msco314,0,293.75,C Andre Drummond UTIL Karl-Anthony Towns F Buddy Hield G Derrick Rose PF Dario Saric PG Tyler Johnson SG Terry Rozier SF Wayne Ellington,,Derrick Rose,SG,43.59%,38
2,1265718353,cpruit10,0,291.75,C Nikola Jokic PG John Wall SG Donovan Mitchell UTIL D'Angelo Russell SF Justise Winslow PF Taj Gibson F Derrick Favors G Iman Shumpert,,Donovan Mitchell,SG,35.90%,33
3,1266003971,iamspencerb,0,281.25,SF Ben Simmons C Karl-Anthony Towns G Derrick Rose UTIL Dwight Howard PF Justise Winslow SG Tyler Johnson PG Terry Rozier F Wayne Ellington,,Terry Rozier,G,33.33%,36.5
4,1265950149,Birdman24,0,275,PF Aaron Gordon SG Donovan Mitchell SF Caris LeVert G De'Aaron Fox C Dwight Howard UTIL D'Angelo Russell F Dario Saric PG Terry Rozier,,Andre Drummond,C,30.77%,48.25
5,1265744992,covy21,0,272,SF Ben Simmons SG Victor Oladipo PG Ricky Rubio F Robert Covington UTIL Jae Crowder G Terrence Ross C Myles Turner PF Trey Lyles,,Wayne Ellington,SF,28.21%,10.5
6,1265742175,zner_2013,0,270.5,PG John Wall C Karl-Anthony Towns PF Domantas Sabonis G Andrew Wiggins SG D'Angelo Russell F Gordon Hayward SF Dario Saric UTIL Tyus Jones,,Victor Oladipo,PG,23.08%,52.75
7,1265709795,jramos411,0,266,C Andre Drummond F Buddy Hield UTIL Willie Cauley-Stein G Derrick Rose SF Taurean Prince PF Justise Winslow PG Terry Rozier SG Marcus Smart,,Dwight Howard,C,23.08%,20
8,1265980893,petermao,0,265.75,UTIL Hassan Whiteside C Rudy Gobert G Donovan Mitchell PG De'Aaron Fox F Nemanja Bjelica SF JJ Redick SG Spencer Dinwiddie PF Marvin Bagley III,,Taj Gibson,UTIL,23.08%,22.75
9,1265908370,joran12,0,263,C Nikola Jokic F Aaron Gordon PG De'Aaron Fox SF Jayson Tatum UTIL Dwight Howard SG Gary Harris PF Dewayne Dedmon G Wayne Ellington,,De'Aaron Fox,G,23.08%,44
10,1265903626,Stax018,0,262.5,C Nikola Jokic PG Victor Oladipo SG Jimmy Butler G Derrick Rose F JJ Redick SF Tyreke Evans UTIL Mohamed Bamba PF Jason Smith,,Buddy Hield,SF,20.51%,34
11,1265558575,DrBeastMode24,0,259.25,C Andre Drummond PG Victor Oladipo F Domantas Sabonis G Ricky Rubio SF Andrew Wiggins UTIL Taj Gibson PF Michael Kidd-Gilchrist SG Jeremy Lin,,Andrew Wiggins,SF,17.95%,0
12,1265815105,roy0521,0,259,C Andre Drummond UTIL Karl-Anthony Towns G Donovan Mitchell SF Buddy Hield F Jaylen Brown PF Marvin Bagley III PG Terry Rozier SG Wayne Ellington,,Domantas Sabonis,PF,15.38%,34.75
13,1265586558,chocolateg0ld,0,258.5,PG Trae Young SG Donovan Mitchell F Caris LeVert UTIL De'Aaron Fox G Derrick Rose C Jarrett Allen SF Trey Lyles PF Derrick Favors,,Blake Griffin,PF,15.38%,34.75
14,1264964238,Reese400,0,256,SF Ben Simmons PG Victor Oladipo C Hassan Whiteside SG Derrick Rose PF Domantas Sabonis UTIL Jared Dudley G Torrey Craig F Gorgui Dieng,,Willie Cauley-Stein,UTIL,15.38%,32.75
15,1265928668,nikki_heels,0,255,C Rudy Gobert G Josh Richardson F Caris LeVert SG Derrick Rose SF Marcus Morris PF Justise Winslow UTIL Bojan Bogdanovic PG Terry Rozier,,Caris LeVert,F,15.38%,31.5
16,1265857616,BCAT91,0,252.25,UTIL Andre Drummond SF Aaron Gordon G Donovan Mitchell PF Domantas Sabonis C Dwight Howard SG Tyler Johnson F Joe Harris PG Terry Rozier,,Karl-Anthony Towns,C,15.38%,66.75
17,1265893930,Pauline0207,0,251,C Hassan Whiteside PG De'Aaron Fox F Buddy Hield UTIL Willie Cauley-Stein SG Gary Harris SF Justise Winslow PF Taj Gibson G Terry Rozier,,Ben Simmons,SF,12.82%,61.5
18,1265807356,bigdaddydonald,0,250.75,C Andre Drummond SG Josh Richardson SF Caris LeVert PG De'Aaron Fox PF Marcus Morris G D.J. Augustin UTIL Terry Rozier F Mason Plumlee,,Hassan Whiteside,C,12.82%,45
19,1265731212,nicke8081,0,250.25,UTIL Andre Drummond G Victor Oladipo PG Donovan Mitchell SG Buddy Hield F Paul Millsap SF Trey Lyles C Mohamed Bamba PF Mason Plumlee,,Tyler Johnson,SG,12.82%,26
20,1265902203,Thegreatjakelo,0,250,G Ben Simmons UTIL Hassan Whiteside PG Jamal Murray C Willie Cauley-Stein F Nemanja Bjelica PF Markieff Morris SG Wayne Ellington SF Iman Shumpert,,Gary Harris,SG,12.82%,14
21,1265757467,dawsonkid,0,248,F Blake Griffin SF Ben Simmons PG Jamal Murray PF Domantas Sabonis C Myles Turner SG Tyreke Evans G Marcus Smart UTIL Cory Joseph,,Aaron Gordon,PF,12.82%,36.25
22,1265971126,JoseOJ,0,247.5,C Blake Griffin UTIL Andre Drummond PG Derrick Rose SF Nemanja Bjelica PF Taj Gibson G Tyler Johnson SG Terry Rozier F Mason Plumlee,,Justise Winslow,PF,12.82%,22
23,1265824434,OnlinewomenRugly,0,246.5,C Andre Drummond UTIL Jimmy Butler F Caris LeVert PG Derrick Rose PF Taj Gibson G D.J. Augustin SG Terry Rozier SF Wayne Ellington,,Marcus Morris,F,10.26%,29.25
24,1265796551,frotted,0,246,F Blake Griffin C Karl-Anthony Towns G Donovan Mitchell SF Taurean Prince PF Otto Porter Jr. PG Spencer Dinwiddie UTIL Terry Rozier SG Wayne Ellington,,Rudy Gobert,C,10.26%,44.25
25,1265526657,KatDaddyKatia,0,242.5,PF Blake Griffin PG John Wall UTIL Willie Cauley-Stein F Al Horford C Dwight Howard SG Tyler Johnson G Marcus Smart SF Wayne Ellington,,Robert Covington,PF,10.26%,20.75
26,1265826812,superbaddd107,0,241.25,PF Blake Griffin PG De'Aaron Fox SG Buddy Hield C Willie Cauley-Stein G Derrick Rose F Taj Gibson UTIL Bojan Bogdanovic SF Wayne Ellington,,Josh Richardson,F,10.26%,29
27,1265612218,jhitz1,0,240.75,PG Victor Oladipo UTIL Caris LeVert G Derrick Rose SF Jayson Tatum SG Gary Harris PF Robert Covington C Myles Turner F Bojan Bogdanovic,,Taurean Prince,SF,10.26%,15.75
28,1265564420,SAVAG31,0,240.5,PG Victor Oladipo C Rudy Gobert SG Donovan Mitchell SF Andrew Wiggins UTIL Jae Crowder PF Otto Porter Jr. F Taj Gibson G Spencer Dinwiddie,,D'Angelo Russell,UTIL,10.26%,40
29,1265689244,DailyWombat,0,238.75,C Andre Drummond PF Aaron Gordon PG De'Aaron Fox G Derrick Rose UTIL Dwight Howard SF Taurean Prince SG Wayne Ellington F Iman Shumpert,,Nemanja Bjelica,F,10.26%,30.5
30,1265520693,Jellydonut17,0,237,PG Kemba Walker SG Victor Oladipo G Bradley Beal SF Buddy Hield F Marcus Morris PF Otto Porter Jr. UTIL Rodions Kurucs C Jason Smith,,JJ Redick,G,10.26%,26
31,1265991345,spike745,0,235.75,F Blake Griffin SF Buddy Hield G Derrick Rose SG Evan Fournier C Dwight Howard UTIL Jae Crowder PF Derrick Favors PG Tony Parker,,Otto Porter Jr.,PF,7.69%,17.75
32,1265572327,BryceMcleod96,0,234,C Joel Embiid PG Donovan Mitchell G De'Aaron Fox SG Derrick Rose SF Andrew Wiggins PF Robert Covington UTIL Troy Williams F Alex Poythress,,John Wall,PG,7.69%,51.75
33,1265975668,JRHmoney,0,226,PG Victor Oladipo C Hassan Whiteside SG Donovan Mitchell UTIL Gary Harris F Kent Bazemore G D'Angelo Russell PF Taj Gibson SF Justin Jackson,,Marcus Smart,G,7.69%,38.75
34,1265802235,GrizzyMcGuire,0,221.75,C Karl-Anthony Towns G Trae Young PG Derrick Rose SG Nicolas Batum SF Andrew Wiggins F JJ Redick UTIL Gordon Hayward PF Dewayne Dedmon,,Jae Crowder,UTIL,7.69%,39
35,1265810135,JSwizzless,0,216,UTIL Rudy Gobert SF Josh Richardson PG Donovan Mitchell G Evan Fournier C Dwight Howard SG Gary Harris PF Taj Gibson F Jaylen Brown,,Spencer Dinwiddie,G,7.69%,31
