Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1268907071,smckeown_1,0,269,SF Giannis Antetokounmpo UTIL Damian Lillard PG Trae Young F Marcus Morris G Malcolm Brogdon SG Josh Hart C Alex Len PF Zach Collins,,Giannis Antetokounmpo,SF,66.67%,49.75
2,1270460579,petermao,0,233,SF Giannis Antetokounmpo C Nikola Vucevic PG CJ McCollum F Taurean Prince G Rajon Rondo SG Josh Hart PF Omari Spellman UTIL Alex Len,,Josh Hart,SG,66.67%,15.25
3,1270441525,RHi3,0,229.5,SF LeBron James G Victor Oladipo C Clint Capela SG CJ McCollum PF Jayson Tatum PG Terry Rozier UTIL Lance Stephenson F Pat Connaughton,,Alex Len,C,66.67%,34.25
,,,,,,,CJ McCollum,SG,66.67%,20
,,,,,,,Damian Lillard,UTIL,33.33%,43.75
,,,,,,,Trae Young,PG,33.33%,46
,,,,,,,Marcus Morris,F,33.33%,23
,,,,,,,Malcolm Brogdon,G,33.33%,39.5
,,,,,,,Zach Collins,PF,33.33%,17.5
,,,,,,,LeBron James,SF,33.33%,44.25
,,,,,,,Victor Oladipo,G,33.33%,50.5
,,,,,,,Clint Capela,C,33.33%,29.75
,,,,,,,Jayson Tatum,PF,33.33%,43
,,,,,,,Terry Rozier,PG,33.33%,9
,,,,,,,Lance Stephenson,UTIL,33.33%,17.25
,,,,,,,Pat Connaughton,F,33.33%,15.75
,,,,,,,Nikola Vucevic,C,33.33%,45
,,,,,,,Taurean Prince,F,33.33%,37.25
,,,,,,,Rajon Rondo,G,33.33%,16.5
,,,,,,,Omari Spellman,PF,33.33%,15
